date,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
2021-08-10,65,1,0,2,85,12,0,2,3,219,52,0,6,0,0,0
2021-08-11,65,1,0,2,85,12,0,2,3,219,52,0,6,0,0,0
2021-08-12,65,2,0,2,85,13,0,2,3,219,52,0,6,0,0,0
2021-08-13,65,2,0,2,85,13,0,2,3,219,52,0,6,0,0,0
2021-08-14,65,2,0,2,85,13,0,2,3,219,52,0,6,0,0,0
2021-08-15,65,2,0,2,85,13,0,2,3,219,52,0,6,0,0,0
2021-08-16,65,2,0,2,85,13,0,2,3,219,52,0,6,0,0,0
2021-08-17,74,2,0,2,101,13,0,2,3,222,52,0,8,0,0,0
2021-08-18,78,2,0,2,105,13,0,2,3,222,52,0,8,0,0,0
2021-08-19,79,2,0,2,108,13,0,2,3,222,52,0,8,0,0,0
2021-08-20,81,2,0,2,109,13,0,2,3,222,52,0,8,0,0,0
2021-08-21,81,2,0,2,109,13,0,2,3,222,52,0,8,0,0,0
2021-08-22,84,2,0,2,113,13,0,2,3,222,52,0,8,0,0,0
